No,物件名,エリア区分,所在地,利回り(%),専有面積(m²),客室数(BR),敷地面積(m²),価格,特記事項,画像URL
1,ル・シャレー 軽井沢 星降る丘,国内・軽井沢,長野県北佐久郡軽井沢町,5.8,420,6,1800,480000000,,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/penthouse-living.png
2,オーシャンフロント ヴィラ葉山,国内・葉山,神奈川県三浦郡葉山町,4.2,580,5,2200,720000000,,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/ocean-view.png
3,ウブド テラス・ヴィラ · バリ,海外・バリ島,インドネシア バリ島 ウブド,8.4,650,4,,210000000,管理一括委託,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/garden-estate.png
4,ニセコ グラン·シャレー 白銀邸,国内・ニセコ,北海道虻田郡倶知安町,7.1,510,7,3500,960000000,NEW,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/city-skyline.png
5,マウイ ビーチフロント エステート,海外・ハワイ,アメリカ ハワイ州 マウイ島,5.3,840,6,,1850000000,現地法人管理,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/private-beach.png
6,琉球クリフサイド·リゾート,国内・沖縄,沖縄県国頭郡恩納村,6.7,390,4,1200,340000000,,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/rooftop-pool.png
7,ヴィラ サンクレア · コートダジュール,海外・フランス,フランス エズ村 地中海沿岸,3.9,720,5,,2200000000,1920年築,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/marble-lobby.png
8,那須高原 フォレスト·グランド,国内・那須,栃木県那須郡那須町,6.1,480,5,5000,280000000,,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/modern-villa.png
9,プーケット サンセット·リッジ ヴィラ,海外・タイ,タイ プーケット カタノイビーチ,9.2,560,5,,160000000,管理一括委託,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/sunset-terrace.png
10,箱根 源泉掛け流し 温泉別邸,国内・箱根,神奈川県足柄下郡箱根町,5.5,340,3,,550000000,源泉権付,https://okadakk.github.io/public_hosting_images/images/luxury-real-estate/luxury-interior.png
